OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01324,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Lactococcus(100),
Otu01326,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01327,1.2e-05,0,9e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Proteobacteria(100),Epsilonproteobacteria(100),Campylobacterales(100),Helicobacteraceae(100),Helicobacter(100),
Otu01334,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01335,0,0,0,1.3e-05,0,1.3e-05,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01340,2e-05,0,8e-06,0,0,0,0.164579,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(70),Clostridiales_unclassified(62),Clostridiales_unclassified(62),
Otu01348,2e-05,0,1e-05,0,0,0,0.164579,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(54),Porphyromonadaceae_unclassified(54),
Otu01351,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu01352,1.6e-05,0,9e-06,0,0,0,0.304197,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu01368,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(67),Firmicutes_unclassified(67),Firmicutes_unclassified(67),Firmicutes_unclassified(67),
Otu01369,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(84),
Otu01371,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Proteobacteria(92),Proteobacteria_unclassified(92),Proteobacteria_unclassified(92),Proteobacteria_unclassified(92),Proteobacteria_unclassified(92),
