OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu04643,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04646,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu04651,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Parabacteroides(100),
Otu04669,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu04670,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),
Otu04679,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(67),Porphyromonadaceae_unclassified(67),
Otu04680,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),
Otu04681,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu04685,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu04698,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu04711,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu04712,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu04716,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu04724,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu04745,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu04751,0,0,0,1.3e-05,0,9e-06,0.183673,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),Bacteroidetes_unclassified(67),
Otu04759,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Chlamydiae(100),Chlamydiia(100),Chlamydiales(100),Chlamydiaceae(100),Chlamydia(100),
Otu04774,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu04785,0,0,0,1.3e-05,0,1.3e-05,0.183673,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu04797,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04803,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04807,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04814,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu04819,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Desulfovibrionales(100),Desulfovibrionales_unclassified(100),Desulfovibrionales_unclassified(100),
Otu04828,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu04832,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(100),
Otu04834,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu04842,0,0,0,1.3e-05,0,1.3e-05,0.183673,0.952991059578368,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu04846,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu04855,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu04880,0,0,0,7e-06,0,7e-06,0.428571,0.952991059578368,Bacteria(100),Bacteroidetes(100),Bacteroidia(67),Bacteroidales(67),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
