OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01197,1e-05,0,7e-06,0,0,0,0.19753,0.778606186567164,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01199,0,0,0,1.6e-05,0,9e-06,0.134277,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
Otu01202,1e-05,0,7e-06,0,0,0,0.19753,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01207,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01208,0,0,0,1.2e-05,0,6e-06,0.259258,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01209,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(54),
Otu01210,1.5e-05,0,8e-06,4e-06,0,4e-06,0.329369,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(94),Bacteroidales(94),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu01212,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01213,1.5e-05,0,8e-06,4e-06,0,4e-06,0.329369,0.778606186567164,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Streptococcus(100),
Otu01214,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Firmicutes(94),Firmicutes_unclassified(94),Firmicutes_unclassified(94),Firmicutes_unclassified(94),Firmicutes_unclassified(94),
Otu01219,1e-05,0,7e-06,0,0,0,0.19753,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01221,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Bacteria_unclassified(74),Bacteria_unclassified(74),Bacteria_unclassified(74),Bacteria_unclassified(74),Bacteria_unclassified(74),
Otu01226,1e-05,0,1e-05,0,0,0,0.19753,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(80),Bacteroidales(80),Bacteroidales_unclassified(80),Bacteroidales_unclassified(80),
Otu01227,0,0,0,1.6e-05,0,7e-06,0.134277,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(61),Bacteroidales(61),Bacteroidales_unclassified(54),Bacteroidales_unclassified(54),
Otu01233,0,0,0,1.2e-05,0,6e-06,0.259258,0.778606186567164,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),
Otu01238,1e-05,0,7e-06,0,0,0,0.19753,0.778606186567164,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01243,0,0,0,1.6e-05,0,7e-06,0.134277,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01244,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Proteobacteria(93),Proteobacteria_unclassified(93),Proteobacteria_unclassified(93),Proteobacteria_unclassified(93),Proteobacteria_unclassified(93),
Otu01245,1e-05,0,7e-06,0,0,0,0.19753,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(86),
Otu01246,0,0,0,1.6e-05,0,7e-06,0.134277,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Romboutsia(86),
Otu01248,1e-05,0,1e-05,0,0,0,0.19753,0.778606186567164,Bacteria(100),Proteobacteria(100),Epsilonproteobacteria(72),Campylobacterales(72),Helicobacteraceae(72),Helicobacter(65),
Otu01252,0,0,0,1.6e-05,0,7e-06,0.134277,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(93),Bacteroidetes_unclassified(93),Bacteroidetes_unclassified(93),Bacteroidetes_unclassified(93),
Otu01261,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01262,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01263,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(65),Bacteroidetes_unclassified(65),Bacteroidetes_unclassified(65),Bacteroidetes_unclassified(65),
Otu01265,1e-05,0,7e-06,0,0,0,0.19753,0.778606186567164,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu01267,1e-05,0,1e-05,0,0,0,0.19753,0.778606186567164,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Intestinimonas(100),
Otu01268,5e-06,0,5e-06,0,0,0,0.444444,0.778606186567164,Bacteria(100),Bacteroidetes(58),Bacteroidetes_unclassified(58),Bacteroidetes_unclassified(58),Bacteroidetes_unclassified(58),Bacteroidetes_unclassified(58),
Otu01272,0,0,0,1.2e-05,0,6e-06,0.259258,0.778606186567164,Bacteria(100),Proteobacteria(100),Epsilonproteobacteria(100),Campylobacterales(100),Helicobacteraceae(100),Helicobacter(100),
