OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu11886,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu11896,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu11899,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu11964,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu12085,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12164,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Turicibacter(100),
Otu12209,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12214,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12223,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12229,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu12234,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu12235,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu12238,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu12241,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu12244,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu12249,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu12269,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12282,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12289,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12296,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu12316,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12323,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu12327,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu12328,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu12334,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu12339,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12341,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Bifidobacteriales(100),Bifidobacteriaceae(100),Bifidobacterium(100),
Otu12346,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12349,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu12358,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
Otu12359,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu12441,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu12463,5e-06,0,5e-06,0,0,0,1,1,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Alloprevotella(100),
